age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,education
51,Private,115066,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,>50K,Some-college
43,Private,289669,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K,Masters
71,?,100820,9,Married-civ-spouse,?,Husband,White,Male,0,2489,15,United-States,<=50K,HS-grad
48,Private,121253,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K,Bachelors
71,Private,110380,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,<=50K,HS-grad
73,Self-emp-not-inc,233882,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K,HS-grad
68,?,192052,10,Married-civ-spouse,?,Wife,White,Female,0,2457,40,United-States,<=50K,Some-college
67,?,174995,10,Married-civ-spouse,?,Husband,White,Male,0,2457,40,United-States,<=50K,Some-college
40,Self-emp-not-inc,335549,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,>50K,Prof-school
50,Private,237729,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K,HS-grad
51,State-gov,68898,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,>50K,Assoc-voc
42,Private,107276,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K,Some-college
39,Private,141584,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,>50K,Masters
32,Private,207668,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,>50K,Bachelors
53,Private,313243,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,>50K,Some-college
40,Local-gov,147372,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States,>50K,Some-college
38,Private,237608,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,>50K,Bachelors
33,Private,194901,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,>50K,Assoc-voc
43,Private,155106,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,>50K,Assoc-acdm
50,Self-emp-inc,121441,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,>50K,11th
44,Private,162028,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K,Some-college
51,Self-emp-not-inc,160724,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K,Bachelors
41,Private,132222,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,>50K,Prof-school
60,Self-emp-inc,226355,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,?,>50K,Assoc-voc
37,Private,329980,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,Masters
55,Self-emp-inc,124137,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,>50K,Prof-school
39,Self-emp-inc,329980,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,>50K,Bachelors
42,Self-emp-inc,187702,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K,Prof-school
49,Private,199029,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,>50K,Bachelors
47,Self-emp-not-inc,145290,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,HS-grad
41,Local-gov,297248,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,Prof-school
55,Self-emp-inc,227856,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,Bachelors
39,Private,179731,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K,Masters
42,Private,154374,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,Bachelors
41,?,27187,11,Married-civ-spouse,?,Husband,White,Male,0,2415,12,United-States,>50K,Assoc-voc
46,Private,326857,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K,Masters
40,Private,160369,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K,Masters
32,Private,396745,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,>50K,Bachelors
41,Self-emp-inc,151089,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K,Some-college
60,Self-emp-inc,336188,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K,Prof-school
31,Private,279015,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,>50K,Masters
58,Self-emp-not-inc,43221,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,>50K,Some-college
37,Self-emp-inc,30529,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K,Bachelors
44,Self-emp-not-inc,201742,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,Bachelors
39,Self-emp-not-inc,218490,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,?,>50K,Prof-school
43,Federal-gov,156996,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,?,>50K,Prof-school
55,Self-emp-inc,298449,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K,Bachelors
44,Self-emp-inc,191712,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K,Masters
39,Private,198654,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,>50K,Prof-school
46,Self-emp-not-inc,102308,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,>50K,Bachelors
39,Private,348521,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,>50K,Some-college
62,Self-emp-inc,56248,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,>50K,Bachelors
31,Self-emp-not-inc,252752,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,>50K,HS-grad
46,Private,192963,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K,Bachelors
46,Self-emp-not-inc,198759,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K,Prof-school
39,Self-emp-inc,143123,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,>50K,Assoc-voc
39,Private,237713,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,>50K,Prof-school
59,Private,81929,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,Doctorate
50,Self-emp-inc,167793,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K,Prof-school
46,Private,456062,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K,Doctorate
53,Self-emp-not-inc,105478,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,>50K,Bachelors
50,Self-emp-not-inc,42402,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States,>50K,Prof-school
41,Self-emp-inc,114580,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,United-States,>50K,Prof-school
36,Private,346478,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,>50K,Bachelors
38,Private,187870,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,United-States,>50K,Prof-school
54,Private,35576,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K,Some-college
50,Private,102346,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,>50K,Bachelors
47,Private,148995,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,Bachelors
47,Self-emp-inc,102308,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K,Prof-school
67,Private,105252,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,>50K,Bachelors
67,Self-emp-inc,106175,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,>50K,Bachelors
72,Self-emp-not-inc,52138,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,>50K,Doctorate
72,?,118902,16,Married-civ-spouse,?,Husband,White,Male,0,2392,6,United-States,>50K,Doctorate
46,Self-emp-inc,191978,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States,>50K,Masters
78,Self-emp-inc,188044,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K,Bachelors
71,Self-emp-inc,66624,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,>50K,Bachelors
83,Self-emp-inc,153183,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States,>50K,Bachelors
68,Private,211287,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K,Masters
26,Private,181655,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K,Assoc-voc
68,State-gov,235882,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,>50K,Doctorate
49,Self-emp-inc,158685,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K,HS-grad
36,Private,370767,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,<=50K,HS-grad
70,Self-emp-not-inc,155141,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,>50K,Bachelors
27,Private,156516,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,<=50K,Some-college
35,Local-gov,177305,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States,<=50K,Some-college
23,Private,162945,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,United-States,<=50K,HS-grad
81,Private,177408,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States,>50K,HS-grad
66,Self-emp-not-inc,427422,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,United-States,>50K,Doctorate
71,Private,152307,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States,>50K,HS-grad
68,Private,218637,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States,>50K,Some-college
68,State-gov,202699,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,?,>50K,Masters
65,?,240857,13,Married-civ-spouse,?,Husband,White,Male,0,2377,40,United-States,>50K,Bachelors
52,Private,222405,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States,<=50K,HS-grad
40,Self-emp-inc,110862,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,United-States,<=50K,Assoc-acdm
68,?,257269,13,Married-civ-spouse,?,Husband,White,Male,0,2377,35,United-States,>50K,Bachelors
21,Private,377931,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States,<=50K,Some-college
35,Private,192923,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K,HS-grad
70,Self-emp-inc,207938,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K,Bachelors
61,Self-emp-not-inc,36671,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K,HS-grad
65,Self-emp-inc,81413,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K,HS-grad
46,Private,214955,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,<=50K,5th-6th
26,Local-gov,166295,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,<=50K,Bachelors
59,Local-gov,147707,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,<=50K,HS-grad
61,Private,43554,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States,<=50K,5th-6th
60,State-gov,358893,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,<=50K,Bachelors
49,Self-emp-inc,141058,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,<=50K,Some-college
34,Private,25322,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,?,<=50K,Bachelors
25,Private,77071,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,<=50K,Bachelors
55,Private,158702,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,45,?,<=50K,Some-college
59,Local-gov,171328,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,<=50K,HS-grad
28,State-gov,381789,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,<=50K,Some-college
43,?,152569,11,Widowed,?,Not-in-family,White,Female,0,2339,36,United-States,<=50K,Assoc-voc
56,Self-emp-not-inc,346635,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,<=50K,Masters
41,Private,162140,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,<=50K,HS-grad
42,Private,191765,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,<=50K,HS-grad
28,Private,251905,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,<=50K,Prof-school
40,Self-emp-not-inc,33310,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,<=50K,Prof-school
69,Private,228921,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,>50K,Bachelors
66,Local-gov,36364,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,HS-grad
69,Private,124930,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,5th-6th
55,Local-gov,176046,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,<=50K,Masters
57,Federal-gov,370890,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K,HS-grad
20,Self-emp-not-inc,157145,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,<=50K,Some-college
33,Private,288825,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K,HS-grad
30,Self-emp-not-inc,257295,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South,<=50K,Some-college
40,Private,287983,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K,Bachelors
38,Private,101978,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,>50K,Some-college
46,State-gov,192779,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,>50K,Assoc-acdm
29,Private,135296,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K,Bachelors
57,Federal-gov,199114,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K,Bachelors
39,Private,156897,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,>50K,HS-grad
47,Private,138107,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K,Bachelors
26,Private,279833,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K,Bachelors
27,Self-emp-not-inc,208577,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,<=50K,HS-grad
23,Private,102942,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,Bachelors
34,Private,36385,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,<=50K,Masters
33,Private,176185,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,<=50K,12th
38,Local-gov,162613,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,<=50K,Masters
57,Private,121362,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,Some-college
36,Private,145933,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,<=50K,HS-grad
44,Federal-gov,29591,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,Bachelors
49,State-gov,269417,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,Doctorate
44,Self-emp-inc,178510,10,Never-married,Sales,Not-in-family,White,Male,0,2258,60,United-States,<=50K,Some-college
55,Private,41108,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,>50K,Some-college
45,Private,187901,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States,>50K,HS-grad
48,Private,175070,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K,HS-grad
31,Private,263561,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States,>50K,Bachelors
55,Local-gov,99131,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,>50K,HS-grad
70,Self-emp-not-inc,143833,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United-States,>50K,Some-college
70,Self-emp-not-inc,124449,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,United-States,>50K,Masters
73,Private,336007,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States,>50K,Bachelors
72,Self-emp-not-inc,285408,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,28,United-States,>50K,Prof-school
31,Private,327825,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,<=50K,HS-grad
28,Private,129460,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,<=50K,10th
23,Self-emp-not-inc,258298,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,>50K,Bachelors
49,Local-gov,102359,5,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,40,United-States,>50K,9th
27,Local-gov,92431,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,>50K,Some-college
90,Private,51744,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K,HS-grad
68,Private,166149,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,<=50K,HS-grad
65,Private,149811,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,<=50K,HS-grad
65,?,143118,9,Widowed,?,Unmarried,White,Female,0,2206,10,United-States,<=50K,HS-grad
67,Private,118363,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K,Bachelors
66,Local-gov,362165,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,Bachelors
24,Private,379066,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,24,United-States,<=50K,Some-college
44,Self-emp-not-inc,171424,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,<=50K,Some-college
35,Private,108293,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,<=50K,Some-college
20,Private,107801,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K,Assoc-acdm
38,Private,126675,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,<=50K,HS-grad
39,Private,155603,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K,Some-college
32,Private,27882,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,<=50K,Some-college
42,Private,242564,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,<=50K,7th-8th
63,?,234083,9,Divorced,?,Not-in-family,White,Female,0,2205,40,United-States,<=50K,HS-grad
42,Self-emp-inc,23510,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India,>50K,Masters
64,Private,181232,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,11th
28,Private,166481,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,7th-8th
41,Self-emp-inc,139916,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,Assoc-voc
41,Self-emp-not-inc,144594,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,7th-8th
58,Self-emp-not-inc,266707,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States,<=50K,1st-4th
59,State-gov,303176,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,United-States,<=50K,Some-college
34,Self-emp-not-inc,56460,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,United-States,<=50K,HS-grad
45,Private,167523,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,45,United-States,<=50K,HS-grad
29,Private,119004,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,40,United-States,<=50K,HS-grad
47,Private,175925,6,Married-civ-spouse,Sales,Husband,White,Male,0,2179,52,United-States,<=50K,10th
40,Private,212847,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,United-States,<=50K,Some-college
47,Self-emp-not-inc,191175,3,Married-civ-spouse,Sales,Husband,White,Male,0,2179,50,Mexico,<=50K,5th-6th
63,?,83043,13,Married-civ-spouse,?,Husband,White,Male,0,2179,45,United-States,<=50K,Bachelors
41,Self-emp-not-inc,170214,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,40,United-States,<=50K,HS-grad
34,Private,180714,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2179,40,United-States,<=50K,Some-college
66,?,177351,13,Married-civ-spouse,?,Husband,White,Male,0,2174,40,United-States,>50K,Bachelors
65,Self-emp-not-inc,111483,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2174,10,United-States,>50K,Some-college
70,Private,282642,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K,HS-grad
75,Self-emp-not-inc,309955,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K,Prof-school
65,State-gov,215908,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,40,United-States,>50K,HS-grad
65,Federal-gov,23494,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,40,United-States,>50K,Some-college
